name;description;image_url;price
Eco Gadget 690;Description for product_1;product_1.png;464.64
Ultra Gadget 123;Description for product_2;product_2.png;491.38
Smart Object 598;Description for product_3;product_3.png;357.76
Ultra Widget 734;Description for product_4;product_4.png;84.71
Super Item 561;Description for product_5;product_5.png;432.91
Ultra Item 402;Description for product_6;product_6.png;389.61
Ultra Object 450;Description for product_7;product_7.png;31.17
Ultra Object 457;Description for product_8;product_8.png;334.53
Eco Thing 576;Description for product_9;product_9.png;311.65
Eco Item 319;Description for product_10;product_10.png;301.5
Eco Thing 874;Description for product_11;product_11.png;301.81
Hyper Gadget 122;Description for product_12;product_12.png;385.96
Super Thing 625;Description for product_13;product_13.png;230.05
Hyper Tool 388;Description for product_14;product_14.png;139.31
Mega Widget 544;Description for product_15;product_15.png;337.55
Mega Thing 275;Description for product_16;product_16.png;126.18
Mega Widget 753;Description for product_17;product_17.png;382.61
Power Widget 181;Description for product_18;product_18.png;305.39
Ultra Gadget 993;Description for product_19;product_19.png;52.75
Eco Gadget 957;Description for product_20;product_20.png;87.76
Ultra Device 205;Description for product_21;product_21.png;62.69
Smart Device 114;Description for product_22;product_22.png;13.42
Smart Thing 205;Description for product_23;product_23.png;139.53
Hyper Item 184;Description for product_24;product_24.png;99.31
Hyper Device 795;Description for product_25;product_25.png;316.39
Super Thing 199;Description for product_26;product_26.png;260.12
Eco Tool 521;Description for product_27;product_27.png;41.04
Eco Thing 927;Description for product_28;product_28.png;415.14
Power Gadget 151;Description for product_29;product_29.png;295.18
Ultra Gadget 564;Description for product_30;product_30.png;437.37
Ultra Device 717;Description for product_31;product_31.png;497.59
Power Item 683;Description for product_32;product_32.png;174.95
Mega Device 853;Description for product_33;product_33.png;67.5
Mega Thing 432;Description for product_34;product_34.png;108.03
Smart Tool 641;Description for product_35;product_35.png;346.59
Mega Widget 240;Description for product_36;product_36.png;37.53
Power Gadget 248;Description for product_37;product_37.png;381.01
Power Device 895;Description for product_38;product_38.png;190.76
Super Item 637;Description for product_39;product_39.png;444.26
Super Tool 174;Description for product_40;product_40.png;74.07
Ultra Item 252;Description for product_41;product_41.png;267.2
Super Item 960;Description for product_42;product_42.png;58.81
Smart Tool 489;Description for product_43;product_43.png;305.28
Mega Item 185;Description for product_44;product_44.png;170.55
Ultra Widget 438;Description for product_45;product_45.png;496.74
Eco Object 208;Description for product_46;product_46.png;431.7
Ultra Thing 523;Description for product_47;product_47.png;213.7
Power Object 429;Description for product_48;product_48.png;221.32
Ultra Thing 655;Description for product_49;product_49.png;490.59
Ultra Tool 594;Description for product_50;product_50.png;408.18
Power Widget 192;Description for product_51;product_51.png;133.43
Mega Device 392;Description for product_52;product_52.png;273.73
Smart Widget 130;Description for product_53;product_53.png;474.61
Eco Item 885;Description for product_54;product_54.png;239.18
Super Object 527;Description for product_55;product_55.png;261.52
Ultra Gadget 186;Description for product_56;product_56.png;43.54
Power Item 212;Description for product_57;product_57.png;364.41
Eco Gadget 962;Description for product_58;product_58.png;424.18
Power Widget 703;Description for product_59;product_59.png;453.48
Ultra Device 215;Description for product_60;product_60.png;176.28
Super Tool 527;Description for product_61;product_61.png;48.64
Power Widget 448;Description for product_62;product_62.png;464.9
Mega Item 834;Description for product_63;product_63.png;78.1
Mega Item 544;Description for product_64;product_64.png;400.04
Smart Device 460;Description for product_65;product_65.png;132.42
Eco Widget 445;Description for product_66;product_66.png;440.32
Eco Widget 293;Description for product_67;product_67.png;372.65
Mega Object 792;Description for product_68;product_68.png;307.0
Smart Widget 317;Description for product_69;product_69.png;476.1
Hyper Widget 128;Description for product_70;product_70.png;323.59
Smart Gadget 409;Description for product_71;product_71.png;157.14
Mega Object 244;Description for product_72;product_72.png;108.5
Super Object 464;Description for product_73;product_73.png;420.54
Super Gadget 158;Description for product_74;product_74.png;19.83
Smart Device 446;Description for product_75;product_75.png;350.28
Smart Tool 648;Description for product_76;product_76.png;207.33
Mega Object 601;Description for product_77;product_77.png;140.53
Ultra Thing 692;Description for product_78;product_78.png;400.95
Ultra Item 277;Description for product_79;product_79.png;290.85
Super Item 986;Description for product_80;product_80.png;102.39
Smart Item 807;Description for product_81;product_81.png;185.11
Ultra Gadget 363;Description for product_82;product_82.png;91.47
Hyper Object 340;Description for product_83;product_83.png;316.5
Mega Object 499;Description for product_84;product_84.png;450.38
Power Tool 114;Description for product_85;product_85.png;26.97
Power Device 905;Description for product_86;product_86.png;357.17
Smart Widget 665;Description for product_87;product_87.png;55.58
Mega Device 706;Description for product_88;product_88.png;103.49
Mega Thing 780;Description for product_89;product_89.png;68.64
Power Item 221;Description for product_90;product_90.png;329.73
Smart Thing 932;Description for product_91;product_91.png;388.93
Power Widget 336;Description for product_92;product_92.png;232.39
Mega Thing 899;Description for product_93;product_93.png;432.17
Power Thing 940;Description for product_94;product_94.png;261.7
Eco Tool 399;Description for product_95;product_95.png;290.21
Mega Gadget 197;Description for product_96;product_96.png;63.32
Power Object 838;Description for product_97;product_97.png;115.42
Mega Item 832;Description for product_98;product_98.png;300.05
Eco Item 688;Description for product_99;product_99.png;79.84
Hyper Thing 110;Description for product_100;product_100.png;255.06
